id,name,filename,status,source_limited,removed_unrendered_widget_comments,repaired_malformed_preheaders,removed_broken_media,removed_legacy_header_rows,removed_legacy_footer_blocks
206981371060,Service -- Email 1 of 2 -- Ticket Update -- Ticket Received,206981371060_Service----Email-1-of-2----Ticket-Update----Ticket-Received.html,rebranded-local,False,0,0,0,0,0
206981497264,Service -- Email 2 of 2 -- Ticket Update -- Ticket Closed,206981497264_Service----Email-2-of-2----Ticket-Update----Ticket-Closed.html,rebranded-local,False,0,0,0,0,0
207110364257,Welcome -- Email 1 of 5 -- Welcome -- New Subscriber Introduction,207110364257_Welcome----Email-1-of-5----Welcome----New-Subscriber-Introduction.html,rebranded-local,False,0,0,0,1,2
207224277892,New Customer -- Email 1 of 8 -- New Customer Onboarding -- Your Order Is Confirmed Here's What's Next,207224277892_New-Customer----Email-1-of-8----New-Customer-Onboarding----Your-Order-Is-Confirmed-Heres-Whats-Next.html,rebranded-local,False,0,0,0,1,2
207224311662,New Customer -- Email 4 of 8 -- New Customer Onboarding -- Did Your System Arrive Safely,207224311662_New-Customer----Email-4-of-8----New-Customer-Onboarding----Did-Your-System-Arrive-Safely.html,rebranded-local,False,0,0,0,1,2
208934606082,Abandoned Cart -- Email 1 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today,208934606082_Abandoned-Cart----Email-1-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html,rebranded-review-required,True,1,0,0,0,0
208939229055,Abandoned Cart -- Email 2 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today,208939229055_Abandoned-Cart----Email-2-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html,rebranded-review-required,True,1,0,0,0,0
208939236631,New Customer -- Email 3 of 8 -- New Customer Onboarding -- Your Hair System Is On The Way,208939236631_New-Customer----Email-3-of-8----New-Customer-Onboarding----Your-Hair-System-Is-On-The-Way.html,rebranded-local,False,0,0,0,1,2
208939275297,Abandoned Cart -- Email 3 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today,208939275297_Abandoned-Cart----Email-3-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html,rebranded-review-required,True,1,0,0,0,0
208939275325,Abandoned Cart -- Email 4 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today,208939275325_Abandoned-Cart----Email-4-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html,rebranded-review-required,True,1,0,0,0,0
